trait,selection temp,biorep,nutr,sampletype,traitvalue
bacload,32,b6,full,pbf,0.4
bacload,FS,b1,full,pbf,0.59
bacload,FS,b2,full,pbf,1.09
bacload,FS,b3,full,pbf,0.06
bacload,FS,b4,full,pbf,0.07
bacload,FS,b5,full,pbf,0.12
bacload,FS,b6,full,pbf,0.33
bacload,22,b1,deplete,p,0.18
bacload,22,b2,deplete,p,0.09
bacload,22,b3,deplete,p,0.06
bacload,22,b4,deplete,p,0.65
bacload,22,b5,deplete,p,0.27
bacload,22,b6,deplete,p,0.33
bacload,26,b1,deplete,p,0.27
bacload,26,b2,deplete,p,0.02
bacload,26,b3,deplete,p,0.05
bacload,26,b4,deplete,p,0.42
bacload,26,b5,deplete,p,0.06
bacload,26,b6,deplete,p,0.43
bacload,32,b1,deplete,p,0.54
bacload,32,b2,deplete,p,0.1
bacload,32,b3,deplete,p,0.44
bacload,32,b4,deplete,p,0.13
bacload,32,b5,deplete,p,0.21
bacload,32,b6,deplete,p,0.38
bacload,FS,b1,deplete,p,0.56
bacload,FS,b2,deplete,p,0.44
bacload,FS,b3,deplete,p,0.05
bacload,FS,b4,deplete,p,0.07
bacload,FS,b5,deplete,p,0.11
bacload,FS,b6,deplete,p,0.32
bacload,22,b1,deplete,bf,12
bacload,22,b2,deplete,bf,7.3
bacload,22,b3,deplete,bf,15
bacload,22,b4,deplete,bf,9
bacload,22,b5,deplete,bf,10
bacload,22,b6,deplete,bf,8
bacload,26,b1,deplete,bf,13
bacload,26,b2,deplete,bf,9
bacload,26,b3,deplete,bf,14
bacload,26,b4,deplete,bf,14
bacload,26,b5,deplete,bf,19
bacload,26,b6,deplete,bf,8
bacload,32,b1,deplete,bf,9
bacload,32,b2,deplete,bf,16
bacload,32,b3,deplete,bf,9
bacload,32,b4,deplete,bf,10
bacload,32,b5,deplete,bf,12
bacload,32,b6,deplete,bf,14
bacload,FS,b1,deplete,bf,10
bacload,FS,b2,deplete,bf,9
bacload,FS,b3,deplete,bf,12
